,Rank,Released,Movie,DomesticBox Office,InternationalBox Office,WorldwideBox Office
1063,1064,2011,Jack and Jill,"$74,158,157","$76,361,060","$150,519,217"
1064,1065,2005,Sin City,"$74,103,820","$84,424,098","$158,527,918"
1065,1066,2001,Along Came a Spider,"$74,058,698","$31,100,387","$105,159,085"
1066,1067,2017,Captain Underpants: The First Epic Movie,"$73,921,000","$52,656,874","$126,577,874"
1067,1068,2011,Hugo,"$73,864,507","$106,183,277","$180,047,784"
1068,1069,1988,Beetlejuice,"$73,839,613","$47,933","$73,887,546"
1069,1070,2004,Christmas with the Kranks,"$73,701,902","$22,767,285","$96,469,187"
1070,1071,1979,The Jerk,"$73,691,419",$0,"$73,691,419"
1071,1072,2006,Monster House,"$73,661,010","$67,606,360","$141,267,370"
1072,1073,1999,Deep Blue Sea,"$73,648,228","$91,400,000","$165,048,228"
1073,1074,2009,Law Abiding Citizen,"$73,357,727","$57,802,054","$131,159,781"
1074,1075,2002,Spirit: Stallion of the Cimarron,"$73,215,310","$33,300,000","$106,515,310"
1075,1076,2000,Hollow Man,"$73,209,340","$117,990,660","$191,200,000"
1076,1077,2016,Boo! A Madea Halloween,"$73,206,343",$0,"$73,206,343"
1077,1078,2009,Hotel for Dogs,"$73,178,547","$49,178,625","$122,357,172"
1078,1079,2013,White House Down,"$73,103,784","$132,336,603","$205,440,387"
1079,1080,2019,A Madea Family Funeral,"$73,080,657","$1,477,164","$74,557,821"
1080,1081,2012,John Carter,"$73,058,679","$209,719,421","$282,778,100"
1081,1082,2010,Dinner for Schmucks,"$73,026,337","$13,770,165","$86,796,502"
1082,1083,2011,Justin Bieber: Never Say Never,"$73,013,910","$26,020,215","$99,034,125"
1083,1084,1959,Ben-Hur,"$73,000,000",$0,"$73,000,000"
1084,1085,2006,Barnyard: The Original Party Animals,"$72,779,000","$45,804,844","$118,583,844"
1085,1086,2006,Jackass: Number Two,"$72,778,712","$12,500,000","$85,278,712"
1086,1087,2005,The Interpreter,"$72,708,161","$90,045,676","$162,753,837"
1087,1088,2014,Hercules,"$72,688,614","$170,700,000","$243,388,614"
1088,1089,2016,Storks,"$72,679,278","$110,674,153","$183,353,431"
1089,1090,2015,Bridge of Spies,"$72,313,754","$90,184,584","$162,498,338"
1090,1091,2011,Dolphin Tale,"$72,286,779","$23,781,945","$96,068,724"
1091,1092,2008,Vantage Point,"$72,266,306","$78,620,023","$150,886,329"
1092,1093,1997,I Know What You Did Last Summer,"$72,250,091","$53,000,000","$125,250,091"
1093,1094,1994,Ace Ventura: Pet Detective,"$72,217,396","$35,000,000","$107,217,396"
1094,1095,2017,A Bad Moms Christmas,"$72,110,659","$55,599,891","$127,710,550"
1095,1096,2009,Michael Jackson's This Is It,"$72,091,016","$180,000,000","$252,091,016"
1096,1097,2016,10 Cloverfield Lane,"$72,082,999","$36,203,423","$108,286,422"
1097,1098,1995,Get Shorty,"$72,021,008","$43,000,000","$115,021,008"
1098,1099,2009,"I Love You, Man","$72,013,010","$20,289,492","$92,302,502"
1099,1100,2007,Fred Claus,"$72,006,777","$25,830,861","$97,837,638"
