,Rank,Released,Movie,DomesticBox Office,InternationalBox Office,WorldwideBox Office
227,228,2004,The Polar Express,"$187,224,605","$124,140,582","$311,365,187"
228,229,2013,The Croods,"$187,168,425","$385,900,000","$573,068,425"
229,230,2011,Sherlock Holmes: A Game of Shadows,"$186,848,418","$348,815,025","$535,663,443"
230,231,2004,The Day After Tomorrow,"$186,740,799","$369,578,651","$556,319,450"
231,232,2005,Mr. and Mrs. Smith,"$186,336,279","$299,787,811","$486,124,090"
232,233,1937,Snow White and the Seven Dwarfs,"$184,925,486",$0,"$184,925,486"
233,234,2015,Pitch Perfect 2,"$184,296,230","$103,329,238","$287,625,468"
234,235,1990,Dances with Wolves,"$184,208,842","$239,991,158","$424,200,000"
235,236,1995,Batman Forever,"$184,031,112","$152,498,032","$336,529,144"
236,237,1993,The Fugitive,"$183,875,760","$169,839,557","$353,715,317"
237,238,2015,The Revenant,"$183,637,894","$349,300,408","$532,938,302"
238,239,2001,Ocean's Eleven,"$183,417,150","$267,311,379","$450,728,529"
239,240,2007,The Simpsons Movie,"$183,135,014","$343,936,008","$527,071,022"
240,241,2000,What Women Want,"$182,805,123","$191,300,000","$374,105,123"
241,242,2000,The Perfect Storm,"$182,618,434","$146,093,000","$328,711,434"
242,243,2012,Lincoln,"$182,207,973","$91,138,308","$273,346,281"
243,244,1978,Grease,"$181,813,770","$205,696,409","$387,510,179"
244,245,1997,Liar Liar,"$181,410,615","$121,300,000","$302,710,615"
245,246,2001,Jurassic Park III,"$181,166,115","$184,733,885","$365,900,000"
246,247,2011,Thor,"$181,030,624","$268,295,994","$449,326,618"
247,248,1996,Mission: Impossible,"$180,981,886","$276,716,108","$457,697,994"
248,249,2015,Ant-Man,"$180,202,163","$338,656,286","$518,858,449"
249,250,2008,Madagascar: Escape 2 Africa,"$180,174,880","$419,505,894","$599,680,774"
250,251,2001,Planet of the Apes,"$180,011,740","$182,200,000","$362,211,740"
251,252,2009,X-Men Origins: Wolverine,"$179,883,157","$194,942,603","$374,825,760"
252,253,1984,Indiana Jones and the Temple of Doom,"$179,880,271","$153,200,000","$333,080,271"
253,254,1986,Top Gun,"$179,800,601","$176,999,033","$356,799,634"
254,255,2012,Men in Black 3,"$179,020,854","$475,192,631","$654,213,485"
255,256,1990,Pretty Woman,"$178,406,268","$254,239,604","$432,645,872"
256,257,2005,Hitch,"$177,784,257","$189,000,000","$366,784,257"
257,258,2015,Home,"$177,397,510","$208,600,386","$385,997,896"
258,259,2009,Night at the Museum: Battle of the Smithsonian,"$177,243,721","$224,987,342","$402,231,063"
259,260,1982,Tootsie,"$177,200,000",$0,"$177,200,000"
260,261,2014,How to Train Your Dragon 2,"$177,002,924","$437,583,346","$614,586,270"
261,262,2011,Rise of the Planet of the Apes,"$176,760,185","$294,226,015","$470,986,200"
262,263,2011,Captain America: The First Avenger,"$176,654,505","$193,915,271","$370,569,776"
263,264,2010,The Karate Kid,"$176,591,618","$175,183,320","$351,774,938"
264,265,1998,There's Something About Mary,"$176,484,651","$193,400,000","$369,884,651"
265,266,2002,Ice Age,"$176,387,405","$209,728,938","$386,116,343"
266,267,2004,The Bourne Supremacy,"$176,087,450","$134,913,674","$311,001,124"
267,268,2017,Get Out,"$176,040,665","$79,327,286","$255,367,951"
268,269,2017,The Lego Batman Movie,"$175,750,384","$134,909,634","$310,660,018"
269,270,2017,The Boss Baby,"$175,003,033","$335,875,729","$510,878,762"
270,271,1986,Crocodile Dundee,"$174,803,506","$153,400,000","$328,203,506"
271,272,2018,Crazy Rich Asians,"$174,532,921","$63,566,790","$238,099,711"
272,273,2017,The Greatest Showman,"$174,340,174","$212,325,376","$386,665,550"
273,274,2003,Elf,"$173,840,591","$46,837,892","$220,678,483"
274,275,1995,Apollo 13,"$173,772,767","$162,029,504","$335,802,271"
275,276,1992,Home Alone 2: Lost in New York,"$173,585,516","$185,409,334","$358,994,850"
276,277,2004,National Treasure,"$173,005,002","$158,318,408","$331,323,410"
277,278,2019,Us,"$172,999,965","$76,502,114","$249,502,079"
278,279,1997,Air Force One,"$172,956,409","$142,311,944","$315,268,353"
279,280,1988,Rain Man,"$172,825,435","$239,974,565","$412,800,000"
280,281,2017,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876","$615,682,261","$788,241,137"
281,282,2010,Tron: Legacy,"$172,062,763","$228,000,000","$400,062,763"
282,283,2018,Mary Poppins Returns,"$171,958,438","$172,150,145","$344,108,583"
283,284,1999,The Matrix,"$171,479,930","$292,037,453","$463,517,383"
284,285,2010,True Grit,"$171,243,005","$81,033,923","$252,276,928"
285,286,1999,Tarzan,"$171,091,819","$277,100,000","$448,191,819"
286,287,2001,A Beautiful Mind,"$170,708,996","$146,959,062","$317,668,058"
287,288,2002,Chicago,"$170,687,518","$136,083,027","$306,770,545"
288,289,2011,The Help,"$169,705,587","$43,414,417","$213,120,004"
289,290,2015,Hotel Transylvania 2,"$169,700,110","$299,800,188","$469,500,298"
